pub_date,headline,article
14th July 2016,Gunmen abduct immigration officer four days after rescue,"Olaleye Aluko 
 An officer of the Nigeria Immigration Service, Lagos State Command, Peter Ofulue, has been abducted by gunmen in the Owutu, Ikorodu area of the state.
PUNCH Metro learnt that Ofulue was abducted on Sunday in his apartment while he was cleaning his car and in preparation for church.
Our correspondent gathered that Ofulue, who is attached to the NIS passport office in Ikoyi, Lagos, had earlier been abducted on Monday, July 4, while going to the office. 
The NIS officer was, however, released on Wednesday, July 6, after the gunmen dispossessed him of his phones and money.
Our correspondent was told that the gunmen had reached out to the family members for a ransom of N30m which could not be paid before he was freed.
The gunmen, who were believed to have come from a creek in the neighbouring Ishawo area, reportedly returned to his residence on Sunday and whisked him away again.      
The matter was said to have been reported at the Owutu Police Division.
The NIS National Public Relations Officer, Ekpedeme King, confirmed the abduction.
He added that the NIS was working with the police to ensure his rescue.
He said, “As you know that the immigration service and the police are both under the Ministry of Interior, we have a good synergy on this matter. The case is with the police and they are investigating. We have been told that the gunmen have reached out to the family and they are demanding a ransom.”
One of Ofulue’s neighbours, who spoke on condition of anonymity, said the gunmen abducted three other persons in the area on the same day.
He said, “The officer was preparing to go for a thanksgiving service last Sunday when the gunmen stormed his compound. He was abducted along with three other persons in the area.
“His family members were in Delta State for an event when the gunmen struck. This is the second time they would come for him. The gunmen were four in number.”        
A police source told PUNCH Metro that the gunmen were believed to be working with some people who lived in the area.
“The man was abducted in the first week of the month and abducted again in the second week. People who had been abducted in the area were picked again because they did not pay ransoms.
“Houses have been abandoned in the area due to the fear of kidnappers,” he said.
 Our correspondent learnt that the marine police, the Special Anti-Robbery Squad and other police units had been deployed in the area.
The Lagos State Police Public Relations Officer, SP Dolapo Badmos, could not be reached for comments as her lines were switched off as of press time.
Copyright PUNCH.        
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]g.com"
12th July 2016,"Gunmen abduct Ambode’s account director, son","Olaleye Aluko 
Some gunmen have abducted a director of account in the office of the Lagos State Governor, Akinwunmi Ambode, Thomas Otuyemi, in the Epe area of the state.
PUNCH Metro learnt that Otuyemi, 60, was abducted by the gunmen alongside his son, whose name had yet to be known, on Saturday.
It was gathered that the gunmen, who came from the creeks in the Epe area, took father and son away to an unknown location. 
A source at the state government secretariat in Alausa said the abduction got to the knowledge of the government on Sunday.
“Most of us got to know about the abduction on Sunday. The location of the abductors has yet to be known.
“But the police promised to do a good job. It is not also known whether the abductors have communicated with the family,” the source said.      
The Lagos State Police Public Relations Officer, SP Dolapo Badmos, confirmed the abduction.
She added that the police were on the trail of the kidnappers and that the director would soon be rescued.
She said, “The police are searching the creeks. We are on the trail of the kidnappers. I cannot disclose which police unit is detailed for the rescue mission, but the operation is ongoing.”
Copyright PUNCH.        
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
8th July 2016,Gunmen abduct former senator in Cross River,"Gunmen have abducted Sen. Patrick Ani, a former senator who represented Cross River South on the platform of the defunct National Republican Convention between 1991 and 1992.
Eyewitnesses told journalists in Calabar on Thursday that the former legislator was abducted by the gunmen on Wednesday in his herbal farm in Akpabuyo Local Government Area of the state.
Ani is the brother of a former Minister of Finance, Chief Anthony Ani.
However, ASP Irene Ugbo, the Police Public Relations Officer of Cross River Police Command, told reporters that although the incident had been reported to the police, she had yet to confirm it. 
A man working in Ani’s farm, who preferred anonymity, also confirmed that his boss was kidnapped.
He said that policemen came to the farm and promised to investigate the matter.
He could not, however, ascertain the exact time of the abduction.      
In a related development, some foreigners and Nigerians working for a multinational company were recently kidnapped in the state while their Nigerian driver was killed.
The abducted persons were released some days later after a ransom was reportedly paid.  Related News   Ayade imposes curfew on two communities in Cross River  Cross River street sweepers and shame of a state  France's Macron faces Labour Day protests   
In the meantime, the state government has decided to establish a security outfit to complement the efforts of the existing security agencies in the state.
Governor Ben Ayade of Cross River said that the establishment of the security outfit was part of his administration’s proactive approach, aimed at ensuring peace and security in the state.
The governor gave the assurance he received the Consul-General of France in Nigeria, Amb. Laurent Polonceaux, and his entourage in his private residence in Calabar.
He said that the operations of the outfit, the Homeland Security Service, which would not be armed, would be a complete departure from the traditional methods of policing.
Ayade said the Homeland Security was also expected to provide about 3,000 jobs for the citizens of the state.        
He said that the duties of the outfit would involve intelligence gathering and profiling of persons coming into the state and going out of the state, among others.
He, however, solicited the technical and logistics support of the government of France for the security organisation.
Responding, Polonceaux thanked the governor for the meeting and solicited healthy, robust relations between his country and Cross River.
NAN"
7th July 2016,"Gunmen abduct pastor in Kaduna, demand N2m ransom","Godwin Isenyo, Kaduna"
7th July 2016,Gunmen abduct Abia Poly's medical director,"Ogbonnaya Ikokwu, Umuahia"
7th July 2016,Gunmen abduct Ondo traditional ruler,"Peter Dada, 
Akure
Some gunmen have abducted the monarch of Iyasan town, Oba Abiodun Oyewumi, in the Irele Local Government Area of Ondo State.
It was gathered that the kidnappers entered the community through the Owena River at the boundary between Ondo and Edo states around 10.30pm on Monday. 
They reportedly headed for the palace of the traditional ruler, whisking him away to an unknown place.
The Chairman of Irele LGA, Mr. Sanmi Elumaro, explained that the kidnappers, numbering about 10, entered the town through the waterways.
He added that the kidnappers were heavily armed and none of the residents could confront them while the operation lasted.      
The Police Public Relations Officer, Ondo State, Mr. Femi Joseph, confirmed the abduction of the monarch, adding that the command had begun investigations into the matter.
He said, “We have launched a manhunt for the kidnappers and I am very sure the monarch will be rescued unhurt soon.”
A source in the town told our correspondent that the kidnappers had yet to contact the family of the monarch for a ransom.  Copyright PUNCH.      
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
6th July 2016,Gunmen abduct traditional ruler in Ondo,"Peter Dada, Akure
Unknown gunmen have abducted a monarch of Iyasan town, in Irele Local Government Area of Ondo State, Oba Abiodun Oyewumi.
It was gathered that the kidnappers entered the community through the Owena River at the boundary between Ondo and Edo States around 10:30 pm on Monday and reportedly went straight to the palace of the traditional ruler, whisking him away to an unknown destination.
In his reaction to the development, the chairman of Irele Local Government area of the state, Mr. Sanmi Elumaro, explained that the kidnappers numbering about ten came into the town through the waterways and headed to the palace. 
He added that the kidnappers were heavily armed and none of the residents could challenge or confront them while the operation was going on.
The council boss said the men of the Nigerian Navy and the police in the riverine area of the state had been on the trail of the suspected kidnappers, expressing optimism that the hoodlums would be apprehended.
The Police Public Relation Officer, Mr. Femi Joseph, when contacted on the telephone on Wednesday confirmed the abduction of the monarch, saying the command had begun investigation on the matter.      
He said, ” We have begun manhunt for the kidnappers and I am very sure the monarch would be rescued unhurt very soon. ”
A source in the town told our correspondent that the kidnappers had not contacted the family of the monarch over the issue of ransom and whereabouts of the traditional ruler was still unknown at the time of this report.

Copyright PUNCH.                   

All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.
Contact: [email protected]"
30th June 2016,"Gunmen abduct Delta lawmaker’s wife, demand N200m ransom","Ovie Okpare, Warri
gunmen suspected to be kidnappers on Sunday abducted Mrs. Cynthia Diden, one of the wives of the member representing Warri-North state constituency in the Delta State House of Assembly, Mr. Michael Diden, popularly known as Ejele.
Ejele is a close ally of  the state Governor, Ifeanyi Okowa.
The suspected kidnappers, who had contacted the family, reportedly demanded N200m as ransom before she would be released. 
Associates of the lawmaker, who spoke on condition of anonymity, told our correspondent on Wednesday that she was kidnapped around 7pm on Sunday at the Effurun Roundabout in the Uvwie Local Government Area of the state.
It was gathered that the victim was returning home from work when the incident occurred.
Findings by PUNCH Metro revealed that she was kidnapped by fierce-looking gunmen numbering five, who had trailed her to the spot.      
A family source, who confirmed the incident, said her husband decided to keep the kidnap from the public following the abductors’ warning.
Another member of the family revealed that the lawmaker, a notable youth leader in the Niger Delta region, had been having a running battle with some youths in the state.
The source said, “The kidnappers contacted Ejele and demanded a ransom of N500m which was later reduced to N200m after negotiations on Tuesday.”
Our correspondent gathered that Ejele’s eldest wife, Mary, who is the Special Adviser on Women Mobilisation to Okowa, had been kidnapped in 2009.
She was said to have been released after some days in the kidnappers’ den.
Efforts to confirm Cynthia’s kidnap from the lawmaker, who also owns a church in the Sapele area of the state, proved abortive as his telephone lines were not connecting.
The Police Public Relations Officer, Delta State Police Command, SP Celestina Kalu, confirmed the kidnap to our correspondent in a telephone interview on Wednesday.        
She said, “The kidnap is confirmed. The police are making efforts to track and apprehend the suspects. We want to assure her family that she will be rescued unhurt.”
Kalu also confirmed that the kidnappers had contacted the family, but did not say if ransom was demanded.
Copyright PUNCH.                   
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
2nd June 2016,Gunmen abduct Rep's younger sister in Bayelsa,"Simon Utebor, Yenagoa
Gunmen have abducted a younger sister of Mr. Henry Offongo, a member of the House of Representatives, representing Southern Ijaw Federal Constituency, Bayelsa State.
It was learnt on Thursday that the victim, Mrs. Seighe Samson, was abducted about 11pm on Tuesday from her home in Igbomotoru in Southern Ijaw.
Seighe, a mother of six, is said to be in her late 30s. 
The bandits, numbering about six, were said to have stormed the coastal community in a speedboat and made  straight to the house of their target.
It was learnt that the hoodlums gave  Seighe’s  husband the beating of his life for attempting to resist the abduction of his wife.
Having pummeled Samson, the gunmen grabbed their victim and took her away to an unknown place, shooting continuously.      
When contacted, the  Police Public Relations Officer,  Bayelsa State Command, Asinim Butswat,  confirmed the incident.
He said the police had arrested three suspects in connection with the kidnapping of Offongo’s  younger sister.
“We are aware of the abduction and three suspects have been arrested in connection with the abduction.
“I would not like to mention their names because investigation is still ongoing,” the police spokesman stated."
22nd April 2016,"Gunmen abduct Osun perm sec, others","Femi Makinde, Osogbo
Some gun wielding hoodlums on Friday abducted the Permanent Secretary, Ministry of Finance, Mrs. Adebimpe Ogunlumade; Director, State Audit, Mr. Tajudeen Badejoko, and their driver, Mr. Oladapo Arogundade.
The trio were kidnapped by the gunmen between Obajana and Lokoja, the Kogi State capital on their way to Osogbo, the Osun State capital from Abuja.
They were said to be returning from Abuja where they attended a programme organised by the  World Bank and European Union on local government reform. 
The state officials were said to have been stopped by the gunmen, who whisked them away but sources said the fourth official who they identified as an auditor escaped from the grip of the abductors.
A civil servant, who spoke on condition of anonymity told our correspondent that the abduction left workers at the State Secretariat traumatized on Friday when the news filtered into the state.
It was not clear if the kidnappers had contacted the families of the captors or state government as at the time of filing this report.      
The Head of Service in Osun State, Mr. Sunday Owoeye, confirmed the abduction of the three civil servants in a statement issued on Friday.
The  statement read, “The State Government of Osun wishes to alert on the unfortunate kidnap of three of its officials today Friday April 22, 2016 in Kogi State.
“The kidnapped officials are the Permanent Secretary Ministry of Finance, Mrs. Adebimpe Ogunlumade; Director, State Audit, Mr. Tajudeen Badejoko, and the Driver, Mr. Oladapo Ajani Arogundade.
“The officials were returning from Abuja where they attended the briefing on the State and Local Government Reforms Project; a World Bank and European Union Programme.
“The Government has alerted all necessary security agencies nationwide in general and Kogi State in particular towards safe release of the three abducted officials.
“We appeal  to all Nigerians for information that could lead to their immediate release.”"
11th April 2016,Pirates abduct six Turkish crew off Nigeria coast  - Navy,"Pirates have attacked a Turkish cargo ship off the coast of Nigeria, kidnapping six crew members in a region increasingly hit by piracy in recent years, the Nigerian navy said on Monday.
“All the six Turkish crew members, including the captain of the vessel, the chief officer and the chief engineer, were abducted by the attackers,” Nigerian Navy spokesman, Chris Ezekobe told AFP.
The pirates attacked the vessel in the dead of night while it was steaming through the oil-rich Niger Delta, added the spokesman.
Ezekobe said the ship, a merchant tanker, was used for crude oil operations and the navy was working with Interpol and Nigeria’s secret police to secure the crew’s release. 
Turkey’s Deniz News Agency said the ship, the M/T Puli, was owned by Kaptanoglu Shipping.
Both the kidnapped crew and those who remained on the ship, were “in good health”, the company was reported as saying.
It was unclear how many crew members were aboard, which was carrying chemicals, when it was attacked. Company officials said they have had no contact with the pirates.      
Dirk Steffen, director of maritime security at the Denmark-based Risk Intelligence firm, said the vessel was en route from Port Gentil in Gabon to the Ivory Coast capital, Abidjan, at the time of the attack.
“The attackers had possibly already attempted to board another ship in the vicinity the previous day,”
“It is extremely busy outside the Niger Delta at the moment and we had three attacks against tankers before this one between April 7 and 10,”  he said in an email."
28th March 2016,Gunmen abduct serving colonel in Kaduna,"Fidelis Soriwei and Godwin Isenyo 
A Senior Army Officer, Col. Samaila Inusa, was on Saturday reportedly kidnapped around the Kamazo area in Chikun Local Government of Kaduna State by yet-to-be identified gunmen.
The Army officer, who was said to be serving with the Nigerian Army School of Infantry, Jaji, near Kaduna was in the company of his wife when the incident occurred.
The kidnappers, it was gathered, dropped off the wife and left with the senior military officer and headed towards Abuja. 
No group has claimed responsibility for the abduction of the senior military officer or placed a ransom on him as of the time of filing this report.
A statement issued on Sunday by the Deputy Director, Army Public Relations, One Mechanised Division, Kaduna, Col. Usman Abdul, confirmed that the incident occurred at about 7.30pm on Saturday.
The Army spokesman, in the statement entitled, ‘A senior Army officer abducted-Col. Samaila Inusa,’ said, “This is to inform the general public that the above-named senior officer of the Nigerian Army serving in the Nigerian Army School of Infantry, Jaji, Kaduna, was abducted around Kamazo, near NNPC junction, Kaduna.      
“The abductors dropped off his wife and left with him in his car. The car headed towards Abuja.
“Anybody with useful information or assistance should please assist in tracking these abductors.
“They are in a Mercedes Benz GLK black colour, with registration number, Abuja, KUJ 154 TZ. This happened at about 7:30pm on Saturday, March 26, 2016.
“You are, please, requested to inform the general public on this unfortunate incident. The following numbers could be reached for further contact 08033865572; 08030489203, 08023445961, 07038025282, 07038025282 and 08058130703.”
 This was coming barely a week after three clerics were abducted along the Kaduna-Abuja Expressway.
The President of the United Church of Christ in Nigeria, Rev. Emmanuel Dziggau, along with his Vice President, Rev. Iliya Anto,  and one Rev. Yakubu Zarma, were abducted by gunmen along the Kaduna – Abuja Express Way on Monday.
The abductors, numbering six, were masked and armed with AK47 rifles and demanded for a N100m ransom.        
The ransom was later reduced to N80m, according to a family source.
Meanwhile, the troops of the 93 Battalion of the Nigerian Army have arrested six persons in connection with the ethno-religious crisis in Ibi Local Government Area of Taraba State on March 25, 2016.
The Commanding Officer of the Battalion, Lt. Col. C. O. Egemole, said in a statement on Sunday that the troops also recovered some arms and ammunition and other weapons in the area.
He said that the arrested persons and the recovered weapons would be handed over to the police for further investigation and prosecution.
Egemole said that the security forces were intensifying efforts to apprehend other perpetrators of the violence in the area.
He said, “Six persons have so far been arrested in connection with the crisis and the ongoing manhunt for other perpetuators.
 ‘Three Ak47 assault rifles, two AK47 magazines, four single-barrel guns, 11 cartridges, one axe, two hammers, one cutlass, two handsaws, one knife, three mobile phones, one catapult, one broken butt, 19 rounds  of 5.56mm, 104 rounds of 7.2mm special and one litre of PMS have so far been recovered.      
“We will be handing over the suspects and arms to the Nigeria Police Force for further investigation.”
Egemole said that the Army formation held two meetings with the warring factions before the crisis, which were ignored as shown by the disturbance of March 25, 2016.
He explained that the crisis started when some youths stoned worshippers during the Juma’at Service on March 25, 2016.
He said that the security operatives who responded swiftly to the crisis were able to restore law and order within 24 hours.
Egemole, who said that no life was lost during the crisis, added that measures had been put in place to resolve the crisis in the area.
He called on stakeholders to educate the youth of the area on peaceful coexistence.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH.   
Contact: [email protected]"
27th March 2016,Army Colonel abducted in Kaduna,"Godwin Isenyo, Kaduna
A Senior Army Officer, Col. Samaila Inusa was on Saturday reportedly kidnapped around the Kamazo area in Chikun Local Government of Kaduna State by yet-to-be identified gunmen.
The Army Colonel, who was said to be serving with the Nigerian Army School of Infantry, Jaji, near Kaduna State, was in the company of his wife when the incident occurred.
It was gathered that the kidnappers dropped off the wife and left with the senior military officer, headed towards Abuja. 
No group has claimed responsibility for the abduction of the senior military officer as of the time of filing this report.
A statement issued on Sunday by the Deputy Director, Army Public Relations, One-Mechanized Division, Kaduna, Col. Usman Abdul confirmed that the incident occurred at about 7.30pm on Saturday.
The Army  spokesman in the statement entitled: ‘A senior army officer abducted-Col. Samaila Inusa’, said:
“This is to inform the general public that the above named senior officer of the Nigerian Army serving in Nigerian Army School of Infantry Jaji Kaduna was abducted around Kamazo near NNPC junction, Kaduna.      
“The abductors dropped off his wife and left with him in his car. The car headed towards Abuja.
“Anybody with useful information or assistance should please assist in tracking these abductors.
“They are in a Mercedes Benz GLK Black colour with registration number Abuja, KUJ 154 TZ. This happened at about 7:30pm on Saturday 26 March 2016.
“You are please requested to inform the general public on this unfortunate incidence. The following numbers could be reach for further contact.a. 08033865572 b. 08030489203
c. 08023445961, d. 07038025282, e. 08058130703.”
The incident is coming barely a week when three clerics were abducted along the Kaduna-Abuja Expressway.
The President of the United Church of Christ in Nigeria, Rev. Emmanuel Dziggau, along with his Vice President, Rev. Iliya Anto  and one Rev. Yakubu Zarma were abducted by gunmen along the Kaduna – Abuja Express Way on Monday.
The abductors, numbering six were masked and armed with  AK47 rifles; and demanded for a N100 million ransom.        
The ransom was later reduced to N80 million, according to family source."
26th March 2016,Gunmen abduct Edo lawmaker's 68-year-old mother,"Alexander Okere, Benin
Gunmen have abducted the mother of a member of the Edo State House of Assembly.
‎It was gathered that 68-year-old Abibat Adjoto, whose son, Kabiru Adjoto, represents Akoko Edo II constituency, was kidnapped at her residence in Ikakumo village, in Akoko Edo Local Government Area of the state.
‎She was abducted along with one of her adopted sons, whose name has yet to be verified. 
‎According sources, the suspected kidnappers invaded the village at about 1am on Thursday, shooting sporadically for about two hours, causing the villagers to scamper for safety.
Efforts to reach the three-time lawmaker for comments on Saturday were unsuccessful.
‎But a source close to the family, who spoke on the condition of anonymity, disclosed that the kidnappers forcefully took their victims away, after beating them up.      
It was also learnt that the abductors had yet to make any contact with the family of the victims.
‎The source said, “They came to our village and started shooting. They took mama away and one of her sons.”
When contacted, the Police Public Relations Officer, Mr. Osifo Abiodun, said that he would get back to our correspondent on the matter."
18th February 2016,"Again, gunmen abduct Jonathan’s adopted father","Unidentified gunmen on Wednesday struck in Otuoke, former President Goodluck Jonathan’s hometown, abducting the ex-President’s first cousin and foster father, Chief Inengite Nitabai.
The 72-year-old Nitabai, a prominent chief of Otuoke in the Ogbia Local Government Area of Bayelsa State, was whisked away from his resident at about 3.30am by seven armed men.
Though details of his abduction were sketchy, a security source, who craved anonymity, told our correspondent that the gunmen gained access to Nitabai’s residence through the creek.
The victim’s residence is located beside a creek, some distance away from a military checkpoint close to the Otuoke bridge, off the Onuebum-Otuoke Road. 
Nitabai is described as the head of the compound from where the former President hails from.
It was learnt that the septuagenarian, though cousin to the former President, had been acting as a father figure to Jonathan since the death of his (Jonathan’s) biological father.
When contacted, the Police Public Relations Officer, Bayelsa State Command, Mr. Asinim Butswat, confirmed the abduction.      
Butswat said, “On February 17, 2016, at about 03.30pm, seven unknown gunmen abducted Chief Inengite Nitabai in his residence in Otuoke, Ogbia Local Government Area.
“A massive manhunt has been launched by a combined team of the Marine Police and the Anti-Kidnapping Unit of the command to rescue the victim and arrest the abductors. Investigation is ongoing.”
It will be recalled that Nitabai was abducted two years ago by 10 armed men and spent about three weeks in the kidnappers’ den before he regained his freedom.
Copyright PUNCH.
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
17th February 2016,UPDATED: Gunmen abduct Jonathan's foster father in Bayelsa,"Gunmen on Wednesday struck in Otuoke, former President Goodluck Jonathan’s hometown, abducting the ex-President’s first cousin and foster father, Chief Inengite Nitabai.
The 72-year-old Nitabai, a prominent chief of Otuoke in Ogbia Local Government Area of Bayelsa State, was whisked away at about 3.30am in his residence by seven heavily armed men.
Though details of his abduction were sketchy, a security source, who craved anonymity, told THE PUNCH that the gunmen allegedly gained access to Nitabai’s residence from the back through the creek.
The victim’s residence is located beside a creek, some distance away from a military checkpoint close to the Otuoke bridge, off the Onuebum-Otuoke Road. 
Nitabai is described as the head of the compound from where the former president hails from.
It was learnt that the septuagenarian, though cousin to the former president, had been acting as father figure to Jonathan since the death of his (Jonathan’s) biological father.
When contacted, the Police Public Relations Officer, Bayelsa State Command, Mr. Asinim Butswat, confirmed the abduction.      
Butswat said, “On February 17, 2016, at about 0330 hours, seven unknown gunmen abducted Chief Inengite Nitabai in his residence in Otuoke, Ogbia Local Government Area.
“A massive manhunt has been launched by a combined team of Marine Police and Anti-Kidnapping Unit of the Command, to rescue the victim and arrest the abductors. Investigation is ongoing.”
Inengite Nitabai
Nitabai was abducted two years ago by 10 armed men and spent about three weeks in the kidnappers’ den before he regained freedom.
Upon his freedom in March 2014 when he was 70 years old, Nitabai, a former university lecturer had narrated his ordeal on how his abductors fed him with garri and oil for the gruelling three weeks he was held captive.
He had also said throughout the period of being held hostage, he was blindfolded."
28th August 2017,"Gunmen kill one, abduct four travellers, demand N3m in Ondo","Peter Dada, Akure 
No fewer than four travellers were  reportedly abducted by some gunmen  on Monday on Owo-Ikare Expressway at Ose/Oba area of Akoko South-West Local Government Area of Ondo state.
According to a source the victims were travelling from Ikare, the headquarters of Akoko North-East Local Government to Akure, the state capital, when the hoodlums stopped their vehicle, dragged the passengers out of the vehicle and took them away. 
The source said, ” The kidnappers took the four people away and shot one of the occupants of the vehicles who resisted being taken.”  
The sources said it was the same spot where a traditional ruler Oluyani of Iyani-Akoko, Oba Sunday Daodu was kidnapped a few months ago.   Related News   Kidnapped Imo bizman found dead in Anambra after N10m ransom payment  Gunmen kill policeman, kidnap caretaker chairman in Taraba   Federal lawmaker offers Ondo students bursary   
The source explained that the  kidnappers had contacted the families of each of the victims after the abduction, demanding a sun of N1m on each of them. 
Reacting to the development, the Oloba of Oba-Akoko,Oba Nurudeen Adegoroye called for more police men and another military checkpoint at the dangerous spots within Owo and Oba-Akoko.        
When contacted, the Police Public Relations Officer of the state police command, Mr. Femi Joseph, confirmed the incident and said the command had commenced investigation into the matter. 
Joseph said ” Investigation has begun while policemen were already combing the whole area and the culprits would soon be apprehended.”"
24th August 2017,Gunmen abduct ex-minister in Nasarawa,"Some gunmen have abducted a former Minister of Labour and Productivity, Mr. Usaini Akwanga, on his farm in  the Akwanga Local Government Area of Nasarawa State.
A family source told PUNCH Metro that the gunmen, numbering 10, stormed the farmland around 6pm on Tuesday and kidnapped Akwanga.
He said the victim was whisked away to an unknown location.
The source noted that the family was worried over the whereabouts of Akwanga as he was aged, adding that the gunmen had yet to contact the family. 
He said, “We are scared because he is old. The gunmen have not called or demanded any ransom, so we don’t even know their motive.”
The state Police Public Relations Officer, DSP Idirisu Kennedy, confirmed the incident to our correspondent on Wednesday during a telephone chat.  Related News   Nasarawa court jails man 13 years for armed robbery  Assault on orphan: Court jails Nasarawa lecturer for six months  Gunmen kidnap Nasarawa deputy gov's driver   
He said the state Commissioner of Police, Abubakar Sadiq-Bello, had visited the family house of the victim and promised that the command would mobilise its officers and men to track down the gunmen.      
“Investigation has started into the incident and we will ensure he is rescued unhurt,” he added.
Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
11th August 2017,"Gunmen attack petrol station, kill one, abduct owner, demand N30m ransom","The Police in Nasarawa State on Friday said gunmen had killed one person and abducted a businessman in Keffi on Wednesday night.
The Spokesman of the Police Command in the state, DSP Kennedy Idirisu, told newsmen on Friday in Lafia that the gunmen stormed the Mobil filling station in Keffi on Wednesday night and shot sporadically before whisking away the owner, Alhaji Yaro Talle.
According to him, the gunmen shot the manager of the station, Saidu Abdullahi, in the leg during the operation and he later died in the hospital.
Idirisu said the Keffi Division of the command had received a distress call over the incident and promptly mobilised to the scene and trailed the kidnappers.   Related News   Nasarawa court jails man 13 years for armed robbery  Assault on orphan: Court jails Nasarawa lecturer for six months  Gunmen kidnap Nasarawa deputy gov's driver   
He said the command would ensure the release of the victim unhurt.
He appealed to members of the public to be vigilant and always avail the police with useful information to help rid the state of criminal elements.
Meanwhile, a source close to the victim who pleaded anonymity said the abductors had contacted his family and demanded a N30m ransom.      
(NAN)"
11th August 2017,"Gunmen abduct MD of Eku Hospital, Delta State","Ovie Okpare, Warri
Gunmen suspected to be kidnappers have reportedly abducted the Medical Director of the Eku Baptist Government Hospital in Eku, Ethiope East Local Government Area of Delta State, Dr. Albert Aboloje.
Sources told our correspondent on Friday that Dr. Aboloje was kidnapped at about 6p.m on Thursday and whisked to an unknown destination by a gang of arms-wielding gunmen.
A doctor attached to the hospital who confirmed the development, said the victim had stopped to buy roasted corn when the gunmen bounced on him and walked him into his vehicle before driving him to an unknown location. 
“He was abducted at about 6p.m on Thursday at a spot where he had parked his car to buy roasted corn when a gang of hoodlums armed with pump action rifles shoved him into his car and zoomed off to an undisclosed destination,” a staff of the hospital told newsmen on Friday.
In a related development, Mrs. Susan Owumi, an officer of the Vehicle Inspection Officers and wife of a prominent businessman in Sapele who was abducted over a month ago has been freed by her captors.  Related News   Two abducted Delta Catholic priests regain freedom  Security operatives arrest three kidnappers, rescue victim  Delta widow tags son-in-law kidnapper, man blames wife   
Mrs. Owumi, who was kidnapped Sunday July 5th at her Amukpe home near Sapele area of the state was released on Thursday amid wild celebration by her family members.      
Her abductors had earlier demanded N15m ransom.
Also, men of the Ughelli ‘A’ Division of the state Police command, in conjunction with the Vigilante Group of Nigeria have reportedly rescued a 17-month-old baby and her mother who were abducted by a gang of kidnappers.
The mother of the baby, identified as Ese Elijah, were kidnapped around Warri and whisked to Ughelli where the captors had been negotiating with the victims’ family until they were ambushed by the police and vigilante team on Friday morning.
Two of the gang members were reportedly arrested during the raid of their hideout at the Ekuigbo axis of the East-West road.
The State Police Public Relations Officer, Mr. Andrew Aniamaka, could not be reached for confirmation, as his telephone line was said to have been switched off."
11th August 2017,"Suspect abducts mother, baby in Bauchi, demands N500,000","Olaleye Aluko, Abuja 
The police in Bauchi State have arrested a suspected kidnapper, Buba Sale, for allegedly abducting a woman, Binta Mohammed, and her four-month-old baby in the Liman Katagun area of the state.
Our correspondent learnt that 40-year-old Sale, who held the woman and her baby hostage for about five days, had demanded a ransom of N500,000.
However, a team of policemen form the Anti-Kidnapping Unit reportedly rescued the woman and rushed her to a hospital for treatment. 
The Police Public Relations Officer, DSP Dalti Abubakar, who paraded Sale and other suspects on Thursday, said the case would be charged to court at the end of investigations.
He said, “On July 11, the anti-kidnapping unit arrested the suspect. He kidnapped the victim with her four-month-old baby on July 6 at about 1.30am and demanded a ransom of N500,000. The hostage was rescued alive and rushed to the hospital where she was admitted for treatment. The case is under investigation after which the suspect will be charged to court.”
In another incident, the police arrested a three-man gang of cattle rustlers and suspected kidnappers in the Gubi Village area of Bauchi.        Related News   Two abducted Delta Catholic priests regain freedom  Delta police kill suspected kidnapper, arrest three others  Security operatives arrest three kidnappers, rescue victim   
The suspects – Buba Maikudi, 26, Ishaka Muhammadu, 19, and Ibrahim Isah, 23 – allegedly abducted three cattle farmers in the Dass Local Government Area of the state and also robbed them of 72 cows, valued at N8.5m.
Our correspondent learnt that the principal suspect, Maikudi, had been on the police wanted list in connection with various cases of kidnapping and cattle rustling.
The police spokesperson, Abubakar, said all the hostages were rescued.
He said, “We also recovered 30 cows, 10 Sheep, a dane gun, two cutlasses and charms. The case is under investigation and the suspects will be charged to court for prosecution as soon as possible.”
Copyright PUNCH.                
All rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH. 
Contact: [email protected]"
